,id,cmt,giá,dịch_vụ,ship,hiệu_năng,chính_hãng,cấu_hình,phụ_kiện,other,mẫu_mã
245,18425,sản_phẩm phim lướt game mua đời ! 4 không mục_đích .,0,0,0,0,0,0,0,1,0
248,18422,hàng oke tui mua 2 r tin_tưởng shop,0,0,0,0,0,0,0,1,0
250,18420,"hàng tâm , ổn . shop",0,1,0,0,0,0,0,0,0
251,18419,"shop kiểm_tra kỹ gửi , máy 98 - 99 % màn_hình hơi ám tím nửa , vận_chuyển , không ưng lắm ,",0,0,-1,0,0,-1,0,0,0
253,18417,"máy ful box đầy_đủ phụ_kiện như shop mô_tả , chất_lượng máy đúng như quảng_cáo , , shop phục_vụ ân_cần vui_vẻ tâm khách_hàng , giá_cả hợp_lý , giới_thiệu shop người_thân bạn_bè ủng_hộ shop shop 5 .",1,1,0,0,0,0,1,0,1
254,18416,"khuyên 1 tiền hên xui , tiệm tận_mắt . mua hàng trả_lời , phản_hồi im không một , gọi điện 5 không bốc máy . hình_ảnh điện_thoại shop quảng_cáo hàng trưng_bày như chưa 🤨",0,0,0,0,0,0,0,1,0
255,18415,điện_thoại đẹp giá tốt . hài_lòng tuyệt_đối . ủng_hộ vsmart .,1,0,0,0,0,0,0,0,1
258,18412,"máy hình_thức đẹp , android 9 . rom shield lỗi , lỗi treo pin giữa_chừng , không không . không_thể mạnh rẻ bền , lỗi bình_thường . chủ shop nhiệt_tình , tận_tâm , trả_lời khách_hàng nhắn_tin .",0,1,0,0,0,-1,0,0,1
263,18407,hài_lòng giao hàng điện_thoại đều tốt,0,0,0,0,0,0,0,1,0
270,18400,"máy ful box đầy_đủ phụ_kiện như shop mô_tả , chất_lượng máy đúng như quảng_cáo , , shop phục_vụ ân_cần vui_vẻ tâm khách_hàng , giá_cả hợp_lý , giới_thiệu shop người_thân bạn_bè ủng_hộ shop shop 5 .",1,1,0,0,0,0,1,0,1
271,18778,sản_phẩm tốt như mong_đợi . 5 shop . kích_hoạt bảo_hành 1 .,0,0,0,0,0,0,0,1,0
272,18777,shop không hiện cột sóng : ( đổi không,0,0,0,0,0,0,0,1,0
274,18775,sản_phẩm tạm ổn tầm giá,0,0,0,0,0,0,0,1,0
278,18771,yêu shop vkl máy oke như í vote 5 *,0,0,0,0,0,0,0,1,0
279,18770,mua mn . shop hàng tâm lắm không treo đầu dê thịt chó . khách_hàng trung_thành í,0,0,0,0,0,0,0,1,0
280,18769,"shop uy_tín , giao sản_phẩm đúng quảng_cáo , pin đúng zin sạc cực_kỳ , giá_cả tầm chất_lượng tốt , hài_lòng an_tâm sản_phẩm shop",1,1,0,0,0,1,0,0,0
286,18763,"máy_đẹp , loa to , sóng_khỏe , pin . hài_lòng hàng",0,0,0,0,0,1,0,0,1
288,18761,"shop giao hàng chuẩn , máy đẹp , hoàn_thiện chi_tiết , cấu_hình mạnh_mẽ , màn_hình cảm_ứng nhạy màu_sắc rực_rỡ , shop uy_tín nhiệt_tình khách_hàng , chế_độ bảo_hành rõ_ràng yên_tâm sản_phẩm , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",0,1,0,0,0,1,0,0,1
289,18760,"đẹp , máy mới_tinh shop uy_tín giao hàng chất_lượng đúng như quảng_cáo cấu_hình mạnh_mẽ , màu_sắc rực_rỡ như mong_đợi hài_lòng vừa_ý , giá_cả hợp_lý ủng_hộ mua",1,1,0,0,0,1,0,0,1
290,18759,oke tầm giá . shop nhiệt_tình . mua .,1,1,0,0,0,0,0,0,0
291,18758,máy đẹp đầy_đủ phụ_kiện . điện_thoại chất_lượng . giá rẻ thị_trường . shop nhiệt_tình . vui_vẻ . cám_ơn shop ... tặng shop 2 chữ vời .,1,1,0,0,0,0,1,0,1
294,18755,hàng 99.99 % vết xước,0,0,0,0,0,0,0,0,-1
297,18752,ok . shop,0,0,0,0,0,0,0,1,0
301,18748,"đúng hàng chuẩn . chất_lượng không bàn_cãi , nghe gọi tốt , shop phục_vụ chuyên_nghiệp , giao hàng shoppe dễ_thương . tóm hài_lòng .",0,1,0,0,0,0,0,0,0
309,18740,"sp lỗi tiếng xẹt xẹt máy khởi_động , tiếng cam , m không lỗi không , gọi cskh bảo đi bảo_hành , thủ_tục đổi phiền_phức , bận_bịu đi vắng . m ủng_hộ hàng vn chấp_nhận lỗi . đi mua .",0,0,0,0,0,0,0,1,0
316,18733,túi_tiền shop nhiệt_tình,1,1,0,0,0,0,0,0,0
318,18731,kiểm_tra ok ! ! shop nhanh_nhẹn ! 5 *,0,0,0,0,0,0,0,1,0
322,18399,"điện_thoại tốt , giá tiền , tiền",1,0,0,0,0,0,0,0,0
323,18398,máy tốt . loa hơi .,0,0,0,0,0,-1,0,0,0
325,18396,"máy ổn , hài_lòng sản_phẩm shop , tương_lai mua hàng",0,0,0,0,0,0,0,1,0
327,18394,mua 2 hỏng 1 sạc / thay pin đều không pin,0,0,0,0,0,0,0,1,0
328,18393,"săn sale hôm 7 / 7 2tr8 . hời 1 điện_thoại 6,53 inches , 4 camera , hình_ảnh , âm_thanh , tuyệt_vời .",0,0,0,0,0,0,0,1,0
330,18391,hàng quên mất hnay . shop 5 * . chủ tư_vấn nhiệt_tình tặng 5 * . sản_phẩm tốt . độ bền máy trải nhiệm . ủng_hộ tiếp .,0,1,0,0,0,0,0,0,0
331,18390,sản_phẩm tốt_đẹp đúng mô_tả ok . ủng_hộ shop,0,0,0,0,0,0,0,1,0
337,18384,máy oke shop nhiệt_tình,0,1,0,0,0,0,0,0,0
338,18383,máy tốt cam xấu,0,0,0,0,0,-1,0,0,0
351,18370,"máy mã shv39 605sh . thông_tin tv , android 9 , máy 7.1.1 không tv. ổn 3 * nha : (",0,0,0,0,0,0,0,1,0
353,18368,"giao hàng hơi xíu , 5 * động_lực",0,0,-1,0,0,0,0,0,0
354,18367,mua shop 2 . dt a51 . oki . km mua nha shop . km khách_hàng thân_thiết nha kkk . làm_biếng chụp đại hình .,0,0,0,0,0,0,0,1,0
359,18362,ổn . tiền,0,0,0,0,0,0,0,1,0
362,18359,pin trâu,0,0,0,0,0,1,0,0,0
369,18352,giao hàng chậm . 9 / 9 18 / 9 . 2 cải_thiện dịch_vụ,0,0,-1,0,0,0,0,0,0
371,18350,", mua 2 máy đều tốt",0,0,0,0,0,0,0,1,0
372,18349,"máy oke lắm , loa to",0,0,0,0,0,1,0,0,0
377,18344,"mua hát 15 phút tưởng ngon_lành rẻ giá , ai_ngờ tắt tối sạc kg vô màng hình kg thêa 630k",0,0,0,0,0,0,0,1,0
378,18343,sản_phẩm oke chăm_sóc khách_hàng tốt ủng_hộ shop ( dán cường_lực lệch shop ^ ^ ),0,1,0,0,0,0,0,0,0
380,18341,"máy ngon , chủ tư_vấn nhiệt_tình , màn đẹp , mấy trung quốc tôm . loa to , nghe nhạc . camera video mượt lắm . game ổn",0,1,0,0,0,1,0,0,0
381,18340,"hàng oke mong_đợi , shop gửi kèm phụ_kiện oke shop",0,0,0,0,0,0,1,0,0
382,18339,trầy nhẹ camera may không trầy cam . làm_phiền shop ghi v50 v50s ghi nhầm muống mua v50 nhầm v50s . chán mua vẫng chưa lỗi_lầm .,0,0,0,0,0,0,0,1,0
383,18338,"chất_lượng sản_phẩm tuyệt_vời , màn phản_quang nhẹ không , yêu shop",0,0,0,0,0,-1,0,0,0
385,18336,"đt đẹp không lỗi_lầm , máy ngon keng .",0,0,0,0,0,0,0,0,1
389,18332,máy tốt ae . hình_thức 95 % . không cài ap youtube không nâng hệ diều hành . youtube web ok . shop phong_độ . thanks_👍,0,0,0,0,0,0,0,0,1
392,18329,"shop tư_vấn tận_tình , 1 tạm_thời ok .",0,1,0,0,0,0,0,0,0
394,18327,máy_oke .,0,0,0,0,0,0,0,1,0
395,18326,hàng chuẩn shop tư_vấn nhiệt_tình . ủng_hộ tiếp,0,1,0,0,0,0,0,0,0
396,18325,"shop gửi hàng , giao hàng chậm , điện_thoại đẹp , đóng_gói cẩn_thận , nt qa zalo shop không trả_lời , mò tải ch play",0,0,-1,0,0,0,0,0,1
398,18323,"ngoại_hình đẹp . sài 1 tuần ổn_định , không 1 lỗi . hài_lòng . camera đẹp , màn_hình cong đẹp . màu vàng đẹp lắm . giá tốt , sản phẩn đúng như shop mô_tả . lăn_tăn yên_tâm . 1 tặng người_thân",1,0,0,0,0,1,0,0,1
399,18322,tiền tầm giá,1,0,0,0,0,0,0,0,0
403,18318,hành nguyên oke,0,0,0,0,0,0,0,0,1
404,18317,chất_lượng sản_phẩm tốt . shop nhiệt_tình,0,1,0,0,0,0,0,0,0
405,18316,máy màu_sắc_đẹp sạc máy nóng,0,0,0,0,0,-1,0,0,1
406,18315,sản_phẩm tốt máy như shop nhiêu,0,0,0,0,0,0,0,0,1
410,18311,"sản_phẩm ok , giá tốt sản_phẩm hơi , oke",1,0,0,0,0,0,0,0,0
411,18310,"hàng chất_lượng tốt , giao nhầm màu thái_độ shop tốt , đổi hàng , ủng_hộ",0,1,0,0,0,0,0,0,0
413,18308,điện_thoại mấy hỏng bật không,0,0,0,0,0,0,0,1,0
417,18304,2 . giao hơi không lỗi,0,0,-1,0,0,0,0,0,0
419,18302,sản_phẩm đẹp tốt đúng mẫu giao hàng shipper siêu thân_thiện,0,0,-1,0,0,0,0,0,1
420,18301,"sản_phẩm tốt , shop uy_tín",0,1,0,0,0,0,0,0,0
421,18300,ổn tầm giá . tốt . đợi sale mua 2,0,0,0,0,0,0,0,1,0
422,18299,chưa test chưa chữ_kí đẹp chụp liền 🤣,0,0,0,0,0,0,0,1,0
424,18297,hài_lòng sp . shop uy_tín . ủng_hộ shop tương_lai .,0,1,0,0,0,0,0,0,0
425,18296,"máy hơi xước 1 xíu hàng 98 9 ổn r sim ghép ok , pin 91 % giá không đòi_hỏi , máy lock ổn_định không kém quốc_tế shop nhiệt_tình , 5s shop ý_kiến thử 1 tuần @ - @",0,1,0,0,0,0,0,0,1
433,18288,tốt tầm giá mua,0,0,0,0,0,0,0,1,0
435,18286,"hàng nguyên seri , chất_lượng , 10",0,0,0,0,0,0,0,1,0
436,18285,very good máy,0,0,0,0,0,0,0,1,0
440,18281,"máy không gọi 98 % đc . 50 % thui , thử 1 tuần pin cảm_ứng oke k ? shop vẻ làm_ăn uy_tín hi_vọng đổi thoải_mái .",0,0,0,0,0,0,0,0,-1
443,18278,sản_phẩm tệ,0,0,0,0,0,0,0,1,0
446,18275,tiền hốt 2 xz1 xz2 đủ 😂,0,0,0,0,0,0,0,1,0
450,18271,"máy to tưởng_tượng 😳 camera nét , loa êm tai , sạc siêu . shop ❤ ️",0,0,0,0,0,1,0,0,0
453,18268,"điện_thoại đúng 1 . pin cũ . 2 sập không , thử sac thay pin không .",0,0,0,0,0,-1,0,0,0
460,18261,mua 2 . sp ưng í . chất_lượng tốt . giá_cả cạnh_tranh . cám_ơn shop,1,0,0,0,0,0,0,0,0
464,18257,mua đợt sale chất_lượng ngon bổ rẻ,1,0,0,0,0,0,0,0,0
466,18255,giao lộn màu trắng !,0,-1,0,0,0,0,0,0,0
476,18245,"máy ổn , hình_thức",0,0,0,0,0,0,0,0,1
478,18243,máy ngon không nhìu 10,0,0,0,0,0,0,0,1,0
480,18241,chất . không 2 chữ tuyệt_vời . hàng nguyên đai nguyên mua nha chế,0,0,0,0,0,0,1,0,0
481,18240,"điện_thoại nổi vạch đen màn_hình , tắt không bật",0,0,0,0,0,-1,0,0,0
482,18239,hôm_nay sửa một tuần oke chưa mua tham_khảo fb bảo đứng máy lag kia kia quyết_định mua giá không đòi_hỏi chụp ảnh oke tốt tầm giá 💕,1,0,0,0,0,1,0,0,0
485,18204,"mặc_dù máy cũ keng , hài_lòng",0,0,0,0,0,0,0,0,1
486,18203,máy cảm_ứng hơi đỏ chút xước xát phụ_kiện đầy_đủ màn_hình đẹp,0,0,0,0,0,-1,1,0,-1
493,18196,"máy oke , phục_vụ nhiệt_tình . hai nhân_viên thân_thiện_cảm_ơn shop . chúc shop sản_phẩm",0,1,0,0,0,0,0,0,0
494,18195,"hàng zin ngon , màn không án ố , giá tốt chất_lượng , máy đẹp như",1,0,0,0,0,0,0,0,1
495,18194,"giao sai màu , hình_thức xấu",0,-1,0,0,0,0,0,0,-1
502,18187,pin kém lắm,0,0,0,0,0,-1,0,0,0
503,18186,"hihi điện_thoại xịn bảo_hành 12 lun , mới_đầu ngáo ngơ như bò đeo nơ hem cài_đặt , đòi hàng lum la , shop nhiệt_tình , shop nha 10 không , pin 100 % , ngoại_hình đẹp không tì_vết , mua",0,1,0,0,0,1,0,0,1
505,18184,"máy_đẹp coóng , ổn tầm giá . bảo_hành_chính hãng 18 . giao_diện poco laucher hơi máy xiaomi . giao hàng tiết_kiệm giao hãng , sài_gòn",1,0,0,0,0,0,0,0,1
511,18178,mua tặng mẹ . mua giá rẻ . chất_lượng tốt . shop,1,0,0,0,0,0,0,0,0
518,18171,ok tất không ghép sim ghép đx,0,0,0,0,0,0,0,1,0
521,18168,"sim ghép lắp không , nhắn_tin shop không trả_lời .",0,-1,0,0,0,0,0,0,0
528,18161,"điện_thoại china 3 hôm sập không , nhắn_tin shop không phản_hồi , gọi thuê_bao cam_kết hàng hãng đồ , mua lầm ng không lầm đúng . tiền mua cam_kết không cáp sạc vô pin như",0,-1,0,0,0,-1,0,0,0
530,18159,sài 3 mất sóng wf pin 10 % tự_động tắt màn_hình nổi chốm đen,0,0,0,0,0,0,0,1,0
531,18158,"máy , shop dán sẵn màn_hình . tốt ủng_hộ",0,0,0,0,0,0,1,0,1
537,18152,"máy đẹp , nhiệt_tình mua nhe , kindle ppw đọc manga ngon",0,1,0,0,0,0,0,0,1
540,18509,"sản_phẩm trôi bảo_hành 20 , dòng điện_thoại samsung màn_hình màu_sắc xấu , thua j7 + hic",0,0,0,0,0,0,0,0,-1
544,18505,"sp , chất_lượng / giá ok , shop 5",1,0,0,0,0,0,0,0,1
545,18504,trừ 1 tai_nghe hư màn ám nhẹ,0,0,0,0,0,-1,-1,0,0
546,18503,máy ngon pin chai 3 % 5s shop ceo,0,0,0,0,0,0,0,1,0
550,18499,"máy cũ chủ nhiệt_tình 2 sản_phẩm , 3 chủ",0,0,0,0,0,0,0,1,0
551,18498,2 mua hàng shop . ưng_ý chất_lượng sản_phẩm tốt hình đẹp . khó_chịu thái_độ kiểm_tra hàng khó_chịu mời uống đợi kiểm_tra khó_chịu 5p,0,0,0,0,0,0,0,0,1
554,18495,"máy màu xanh ngọc sang_trọng đậm_đà đẹp hình , tội đặt_hàng không chú_ý mã giảm_giá 100k áp_dụng tiếc 🧐 mua chú_ý .",0,0,0,0,0,0,0,0,1
555,18494,"máy đẹp , ưng . oke thank shop !",0,0,0,0,0,0,0,0,1
559,18490,"máy_đẹp , chất_lượng sản_phẩm mong_đợi . shop phục_vụ nhiệt_tình . giá_cả túi_tiền . giao đầy_đủ hộp ốp lưng . hài_lòng dịch_vụ shop",1,1,0,0,0,0,1,0,1
563,18486,giao hàng hơi,0,0,-1,0,0,0,0,0,0
565,18484,máy ngoại_hình đẹp pin vẻ thay chai r cảm_giác pin tụt tưởng shop tặng cường_lực không,0,0,0,0,0,-1,-1,0,1
569,18480,"điện_thoại ổn , shop nhiệt_tình . hướng_dẫn unlock cài tiếng việt chi_tiết . nhu_cầu ủng_hộ shop",0,1,0,0,0,0,0,0,0
572,18477,"đẹp , máy mới_tinh shop uy_tín giao hàng chất_lượng đúng như quảng_cáo cấu_hình mạnh_mẽ , màu_sắc rực_rỡ như mong_đợi hài_lòng vừa_ý , giá_cả hợp_lý ủng_hộ mua",1,0,0,0,0,1,0,0,1
576,18473,hang tốt . mua . mua flash sale ưng_ý . chúc shop thành_công .,0,0,0,0,0,0,0,1,0
580,18469,"sản_phẩm mô_tả , chữ âm_thanh lớn . shop phục_vụ nhiệt_tình .",0,1,0,0,0,1,0,0,1
590,18459,mua máy 2 shop uy_tín : ),0,1,0,0,0,0,0,0,0
592,18457,chất_lượng sản_phẩm tạm . giá rẻ . giao hàng hơi chậm,1,0,-1,0,0,0,0,0,0
593,18456,sản_phẩm hợp_lý giá tiền,1,0,0,0,0,0,0,0,0
595,18151,"máy đẹp , dán cường_lực , tặng ốp lưng , sạc cáp , tai_nghe đầy_đủ . kiểm_tra hàng thanh_toán .",0,0,0,0,0,0,1,0,1
598,18148,máy ổn . mua 2,0,0,0,0,0,0,0,1,0
601,18145,"camera oke lắm nha , hình_ảnh video cung_cấp không hề miếng giả trân nhó 😙",0,0,0,0,0,1,0,0,0
608,18138,"máy_đẹp , mặt lưng keng . dán cường_lực mh xung_quanh . độ chai pin 92 % ios 14.3 , nhập ccid như máy quốc_tế , không sim ghép",0,0,0,0,0,-1,0,0,1
615,18131,"máy đầm , màu đẹp , cam đục lỗ hơi ám đen không bk máy máy , mong shop giải_đáp , cụm cam nhô len cam bảo_vệ , một miếng dán màn_hình không bk cường_lực không , pin 5k hao pin 1 .",0,0,0,0,0,-1,0,0,0
616,18130,máy_ok . đẹp,0,0,0,0,0,0,0,0,1
618,18128,"tốt đẹp , mạnh , pin trâu",0,0,0,0,0,1,0,0,1
621,18125,"loại 990k . phụ_kiện đầy_đủ , ok . máy trầy . pin không cầm . tiền đấy . chấp_nhận",0,0,0,0,0,0,1,0,-1
622,18124,máy ổn hình_như mất áp í,0,0,0,0,0,0,0,1,0
623,18123,đầy_đủ . combo sim shop . tiếc kính cường_lực vỡ mất không,0,0,0,0,0,0,0,1,0
624,18122,"điện_thoại giá rẻ , pin oke , loa nghe rõ_ràng không , dòng vỏ nhựa cầm nhẹ_tay , phim dán màn_hình tốt",1,0,0,0,0,1,0,0,0
625,18121,pin tốt hợp giá tiền like,0,0,0,0,0,1,0,0,0
628,18118,máy đẹp,0,0,0,0,0,0,0,1,0
630,18116,sản_phẩm tuyệt_vời cám_ơn shop máy như hình đăng hơi chậm lâu_dài không giá tốt,0,0,0,0,0,0,0,1,0
632,18114,"máy đẹp móp một_chút , pin tốt , phụ_kiện đầy_đủ , cáp sạc hư . máy ổn , hi_vọng không lỗi .",0,0,0,0,0,1,-1,0,-1
633,18113,"hàng tốt , shop tư_vấn nhiệt_tình 😍",0,1,0,0,0,0,0,0,0
636,18110,sản_phẩm tạm_thời tạm,0,0,0,0,0,0,0,1,0
639,18107,hàng ổn hơi xước nhẹ,0,0,0,0,0,0,0,0,-1
643,18103,máy_nguyên zin bóc hộp . ok,0,0,0,0,0,0,0,0,1
644,18102,"thank shop , điện_thoại tốt",0,0,0,0,0,0,0,0,1
645,18101,đều ổn ngoại_trừ giao hàng,0,0,-1,0,0,0,0,0,0
646,18100,máy chuẩn chất_lượng tốt,0,0,0,0,0,0,0,1,0
647,18099,máy tốt_đẹp hài_lòng shop phục_vụ chuyên_nghiệp,0,1,0,0,0,0,0,0,1
648,18098,"2 rò màn_hình , mất áp_suất shop nhiệt_tình gửi hàng đúng màu máy ổn tầm giá , chúc shop buôn may đắt shop !",0,1,0,0,0,-1,0,0,0
649,18097,"sản_phẩm đẹp , zin nguyên , chất_lượng tốt hình_ảnh màu đẹp hợp_lý , nhân_viên shop phục_vụ tâm khách_hàng , shop giới_thiệu bạn_bè người_thân ủng_hộ shop , chúc shop đắt . 5 *",1,1,0,0,0,1,0,0,1
651,18095,không miếng dán màn_hình shop cẩn_thận xíu nha . tiền,1,0,0,0,0,0,0,0,0
657,18089,"hàng cũ . không main không hàng thay vỏ . không trùng imei , vỏ ọp_ẹp . bụi vân mặt kính màn_hình",0,0,0,0,0,0,0,1,0
662,18084,"2 mua hàng . chuẩn , oke máy 1 pin hao hơi . gắng phát_huy",0,0,0,0,0,-1,0,0,0
663,18083,"sản_phẩm đẹp , chất_lượng tốt , hình_ảnh màu đẹp hợp_lý , máy . shop giao sản_phẩm đúng như quảng_cáo . 5 shop",1,0,0,0,0,1,0,0,1
664,18082,không chê,0,0,0,0,0,0,0,1,0
665,18081,máy đẹp zin keng cực . máy siêu pin 98 % hài_lòng đồng_tiền tội loa dè nhìu oke,1,0,0,0,0,-1,0,0,1
666,18080,điện_thoại túi_tiền,1,0,0,0,0,0,0,0,0
667,18079,hàng tốt_đẹp không lỗi đầu lắp sim nhập mạng không thành,0,0,0,0,0,0,0,0,1
669,18077,"máy 1 tuần , ban_đầu ổn , sạc pin chừng 70 % báo sạc máy báo nóng pin liên_tục , rút 1 sạc đc , chán",0,0,0,0,0,0,0,1,0
670,18076,"sản_phẩm ok , tiếc không tai_nghe đi kèm . shop phản_hồi nhiệt siêu sale mua 1 .",0,1,0,0,0,0,-1,0,0
675,18071,chất_lượng tuyệt_vời shop 99 %,0,0,0,0,0,0,0,1,0
677,18069,"chất_lượng tuyệt_vời , tốt như mong_đợi , thiết_kế mẫu đẹp cứng_cáp , cầm , dễ_chịu . máy mỏng , giá_cả hợp_lý . chụp hình ok. cấu_hình mạnh , liên_quân pugb mobilet muợt mấy không nóng . phim màn_hình lớn .",1,0,0,0,0,1,0,0,1
680,18066,"shop nhiệt_tình , hàng đẹp chất_lượng .",0,1,0,0,0,0,0,0,1
684,18062,"máy ổn tầm giá , 3 mua máy shop yên_tâm chất_lượng sản_phẩm shop .",0,0,0,0,0,0,0,1,0
685,18061,"đt , shop tư_vấn . shop 5 . lười chụp ảnh minh_hoạ",0,1,0,0,0,0,0,0,1
686,18060,"hình_thức ổn , máy ít xước",0,0,0,0,0,0,0,0,1
688,18058,"sản_phẩm đẹp . xài thử chức_năng oke . bộ_nhớ trống 6gb , xài thẻ_nhớ . gắn sim nghe gọi oke",0,0,0,0,0,0,0,0,1
689,18057,màn hơi ám vàng trái tạm chấp_nhận,0,0,0,0,0,-1,0,0,0
691,18055,"chất_lượng máy oke pin cũ chai , tụt pin không sạc hơi ( cục sạc kèm ) update phần_mềm mi tốt shop tư_vấn chậm , không nhiệt_tình lắm , không lỡ bảo_hành như .",0,-1,0,0,0,-1,0,0,0
694,18052,"tận_tình , 10",0,1,0,0,0,0,0,0,0
695,18051,"loa phát_âm_lượng dòng sản_phẩm , giá mua sale sản_phẩm .",0,0,0,0,0,-1,0,0,0
701,18045,sảm phẩm_chất_lượng lắm . chưa lỗi . shop tốt,0,1,0,0,0,0,0,0,0
702,18044,"cũ nhèm , bữa đứt màn_hình , đem tiệm người_ta cháy mạch điện , rẻ .",0,0,0,0,0,-1,0,0,-1
703,18043,"hàng chất_lượng lắm shop ! mẫu_mã đẹp , giá hợp_lý shop dt",1,0,0,0,0,0,0,0,1
708,18038,tạm_thời chạy oke . theo_dõi tiếp .,0,0,0,0,0,0,0,1,0
709,18037,tiền ae,0,0,0,0,0,0,0,1,0
710,18036,lỗi_micro,0,0,0,0,0,0,0,1,0
712,18034,hình_thức ok . giá rẻ ! hài_lòng,1,0,0,0,0,0,0,0,1
713,18033,"máy đẹp , shop nhiệt_tình",0,1,0,0,0,0,0,0,1
715,18031,ipad đời sâu không_thể mong . hài_lòng . shop !,0,0,0,0,0,0,0,1,0
720,18026,"xước nhẹ máy cũ không đòi_hỏi , màn_hình nét , loa ổn , không rè tốt , pin trâu sạc hơi , shop tặng kèm ốp sạc , 1 chưa lỗi_lầm , hợp_lý",0,0,0,0,0,1,1,0,-1
721,18025,mua online sợ hàng shop uy_tín chất_lượng máy đẹp ghê,0,1,0,0,0,0,0,0,1
726,18020,chất_lượng sản_phẩm tốt .,0,0,0,0,0,0,0,1,0
